0,131,0,6,6,0,0,70,32,0,125,0,0,95,0,0,109,0,0,58,0
0,15,0,0,10,0,0,17,0,0,6,0,0,9,0,0,9,0,0,18,0
0,463,68,0,497,37,0,0,456,2,125,289,0,607,67,0,0,513,27,8,536
65,378,0,408,66,0,0,439,60,6,603,0,297,131,0,0,350,142,1,527,5
0,356,2,1,150,0,0,10,142,0,335,4,0,199,0,0,4,186,0,129,51
179,0,0,91,0,0,0,372,0,0,39,0,199,0,0,0,148,2,0,336,0
0,34,0,85,3,0,0,58,0,0,89,0,39,6,0,0,82,5,0,29,0
20,121,0,124,37,0,0,183,23,0,276,0,106,39,0,0,61,59,0,311,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,45,0,0,20,0,0,25,2,0,39,0,0,61,0,0,28,0,0,2,22
0,127,0,0,45,0,0,106,0,0,58,1,0,149,0,0,36,2,0,39,25
0,37,0,0,30,0,0,83,0,0,53,0,0,54,0,0,37,13,0,83,3
4,35,1,5,23,0,0,101,0,0,37,8,4,72,0,0,24,18,0,79,0
0,20,0,0,18,0,0,59,0,0,11,0,0,19,0,0,31,0,0,40,0
0,15,0,0,12,0,0,0,6,0,14,2,0,9,0,0,4,18,0,11,5
0,109,0,0,63,0,0,80,15,0,75,9,0,141,0,0,56,14,0,44,21
0,10,0,8,22,0,0,19,0,0,13,0,0,5,0,0,13,0,0,23,0
